col_name,data_type,comment
stat_date,string,统计日期(YYYYMMDD)
uid,string,
vopenid,string,
onlinetime,bigint,总在线时长
level,bigint,等级
ticket,bigint,点券数
upvote,bigint,被点赞数
onlinetime_list,string,在线时长列表
corpid,bigint,军团ID
carteamid,bigint,战队ID
vclientip,string,ip地址
country,string,国家
friend_num_plat,bigint,平台好友数
friend_list_plat,string,平台好友列表
friend_num_game,bigint,游戏好友数
friend_list_game,string,游戏好友列表
jiyounum,bigint,基友数
lianrennum,bigint,恋人数
sidangnum,bigint,死党数
guiminum,bigint,闺蜜数
jiyou,string,基友列表
lianren,string,恋人列表
sidang,string,死党列表
guimi,string,闺蜜列表
chg_intimacy,bigint,亲密度变化量
avg_intimacy,bigint,平均亲密度
gender,bigint,性别
chat_num,bigint,点对点发言次数
friend_chat_num,bigint,好友点对点发言次数
rolebattlepoint,bigint,玩家军衔
send_gold_num,bigint,赠送好友金币次数
draw_gold_num,bigint,领取好友金币次数
vote_num,bigint,点赞次数
friend_vote_num,bigint,给好友点赞次数
give_gift_num,bigint,赠送礼物次数
get_gift_num,bigint,领取礼物次数
recruit_num,bigint,组队招募次数
friend_recruit_num,bigint,邀请好友组队招募次数
reply_recruit_num,bigint,应答好友招募次数
team_num,bigint,与好友组队次数
leader_team_num,bigint,玩家担任队长的次数
invite_team_num,bigint,玩家邀请好友组队次数
apply_relation_num,bigint,申请建立亲密关系好友数
reply_relation_num,bigint,应答建立亲密关系好友数
del_friend_num,bigint,删除好友数
invite_carteam_num,bigint,邀请组建车队次数
friend_carteam_num,bigint,邀请好友组建车队次数
carteam_leaader_num,bigint,玩家担任车队队长次数
accept_carteam_num,bigint,应答好友组建车队次数
corps_active_change,bigint,玩家所在军团活跃变化
uid_corp_active_change,bigint,个人军团活跃变化
corps_level_change,bigint,玩家所在军团等级变化
suc_match_num,bigint,匹配成功次数
create_corp_num,bigint,玩家创建军团数
signup_num,bigint,玩家周签到次数
achievement_num,bigint,成就领取次数
chat_uid_num,bigint,点对点发言人数
friend_uid_num,bigint,好友点对点发言人数
reject_friend_num,bigint,拒绝好友申请次数
del_friend_apply_num,bigint,删除好友申请次数
reject_relation_num,bigint,应答建立亲密关系好友数
del_intimacy_num,bigint,删除亲密关系好友数
exit_carteam_num,bigint,退出车队次数
kick_num,bigint,踢出车队次数
bekick_num,bigint,被踢出车队次数
del_carteam_num,bigint,删除车队次数
transfer_carteam_num,bigint,转移车队次数
fail_match_num,bigint,匹配失败次数
accept_invite_team_num,bigint,接收组队邀请次数
reject_invite_team_num,bigint,拒绝组队邀请次数
beaccept_invite_team_num,bigint,被接收组队邀请次数
bereject_invite_team_num,bigint,被拒绝组队邀请次数
beaccept_apply_team_num,bigint,被接收组队申请次数
bereject_apply_team_num,bigint,被拒绝组队申请次数
accept_apply_team_num,bigint,接收组队申请次数
reject_apply_team_num,bigint,拒绝组队申请次数
join_corp_num,bigint,加入军团次数
