uid	vopenid	predicted_proba
51000246173	60538217006761256	0.8004607
510004176	67427497280808	0.9757533
51000429183	60547511248880936	0.9258254
510007830	67680967460136	0.99064773
51000875170	60571196517123368	0.114959985
51001139131	60583692388926760	0.9705085
51001333218	60593335462921512	0.68892956
51001406939	60596809823028520	0.977658
51001606891	60607746755921192	0.7330882
51001613656	60608119143007528	0.9026536
51001667570	60611132532327720	0.4488987
51001680972	60611775837898024	0.34314996
51001690068	60612395722474792	0.91555184
51001748523	60615728684205352	0.25260365
51001787543	60617904823338280	1.27643585e-08
51001922900	60624465184556328	0.96273637
51002022378	60628751629026600	0.67334616
51002197095	60636968169899304	0.27634802
51002330373	60643380824507688	0.20017752
51002560466	60654193069131048	0.9982897
51002627545	60657624949327144	0.9378748
51002819923	60668249758893352	0.8824624
51003424270	60698145818281256	0.99997103
510035904	69655041803560	0.87281734
51003627246	60707999412782376	0.89074254
51003894860	60722117372937512	0.46808463
51004100024	60733491654296872	0.99971294
5100416731	6017170329175336	0.5494774
510041793	70065278289192	0.6928322
51004251140	60740574055367976	0.7632596
51004734917	60764339048940840	0.97103643
51004825187	60768804271424808	0.8963562
51004843746	60769767552058664	0.9830768
51004895770	60772196892935464	0.33760577
51004912707	60773403443201320	0.9721106
51005045983	60780916280526120	0.8498366
51005470016	60802315283989800	0.971052
51005546939	60805375582405928	0.7151078
510055692	71026948310312	0.96405685
51005620742	60809827383117096	0.9997097
51005664911	60812002582725928	0.9887907
51005779042	60817603756950824	0.9959016
51005857836	60821676124144936	0.7511306
5100617227	6021028887528744	0.2127518
51006320574	60846381715555624	0.012767345
51006616246	60861207070246184	0.9916111
5100676819	6022459514291496	0.3666135
51007102699	60886548786578728	0.212677
510072159	72157531342120	0.10890195
51007242741	60894305765950760	0.7295532
5100740477	6024272930014504	0.637812
51007468521	60905066940728616	0.96790445
51007647173	60913876119979304	0.9150615
51007669319	60914988852053288	0.9126852
510078879	72618166584616	0.8846964
51007965528	60929796087350568	0.5633073
51008018671	60932526679917864	0.9742534
51008108138	60937357041730856	0.86876345
5100825928	6027397250286888	0.97145075
5100828424	6027512945968424	0.94068635
51008356344	60951336354972968	0.4949028
51008490649	60957748137166120	0.34092033
5100891222	6030598275990824	0.89325595
51008962698	60981212013266216	0.36875665
51009033240	60984669394830632	0.80688924
51009156389	60991024201598248	0.86562294
51009267716	60997522956879144	0.8350774
5100928114	6032637177496872	0.9982823
51009293635	60999008411583784	0.9298064
5100930330	6032758308996392	0.97683907
51009796686	61024843982046504	0.9607793
51010130828	61041982512170280	0.5866356
5101013125	6036811617273128	0.9226694
51010160744	61043470651229480	0.85213715
51010242827	61047875744171304	0.82558846
51010248101	61048160688407848	0.79276484
51010339970	61053162580477224	0.9932319
510104659	74402188625192	0.87283766
51010515848	61063360846103848	0.818346
51011103693	61093308377990440	0.975543
510111443	74872017782056	0.8644463
51011246740	61100664583226664	0.8659917
5101131785	6041184766395688	0.8216927
51011356824	61106182005589288	0.5585107
5101139650	6041515210442024	0.6962197
51011429451	61109883193656616	0.034958392
5101143106	6041656340383016	0.5818019
51011435606	61110422950249768	0.57050204
51011555007	61117119206917416	0.99967396
51011576734	61118372464952616	0.54057515
51011661418	61123235307455784	0.212677
51011709059	61125536805946664	0.4373438
51011847896	61132770738832680	0.8518066
51011938019	61137476211049768	0.7354585
51011958173	61138489823331624	0.6907722
51012055894	61143384542545192	0.9999999
51012091123	61145188764353832	0.99274254
51012269585	61153791248303400	0.04261577
51012287136	61155453199320360	0.03404063
51012288443	61155488699909416	0.09903064
51012342872	61158212178937128	0.9984131
51012487104	61165710789182760	0.763276
51012517440	61167179265344808	0.5372634
510125987	75879120504104	0.9503088
51012700340	61177562684327208	0.9281658
51012888557	61188100453696808	0.9972472
51013023081	61194724769662248	0.7466494
51013138884	61200706518254888	0.53367364
51013267280	61207004953576744	0.8450295
51013538256	61220756499334440	0.9271288
51013614705	61224673710834984	0.65015924
51013662328	61227307263984936	0.915735
51013666558	61227531340481832	0.99566525
51014308200	61260236778243368	0.8925495
51014486971	61269238492824872	0.1686571
5101452356	6051419405026600	0.92734075
51014617398	61275929112347944	0.9842162
510147285	77357260342568	0.96273416
51014782915	61285011357566248	0.9804871
51014849246	61288796230386984	0.9203218
5101516727	6052871171081512	0.61206234
51015652154	61330231994484008	0.98681474
51015660219	61330668738970920	0.99693966
51015674352	61331341572441384	0.4929732
51015941273	61346419592004904	0.58649766
51015951521	61346935122298152	0.78102934
51016148951	61357032321975592	0.93101114
51016828612	61392668538045736	0.97640336
51016923085	61398292529284392	0.6724779
51017067078	61406269088859432	0.9641871
