uid	vopenid	predicted_proba	feature_importances
5164638594	9815638734669096	0.97944266	chat_num:39.11
5151721230	8973625965544744	0.9573078	skin_num:10.01
5148086713	8743537521067304	0.69205993	del_friend_num:7.45
5144720809	8534270138516776	0.999765	ip_counts:6.20
51521560265	78681932283905320	0.0012461898	active_plat_num:5.60
5116176448	6780019066406184	0.9870358	reject_invite_team_num:5.55
5111307898	6502503512671528	0.99987495	funny_num:3.16
5102320333	6077156929439016	0.9332428	round_squad_num:2.10
5965739681	58555493270291752	0.3539507	friend_chat_num:1.85
5898625024	54594993666786600	0.9408794	friend_num_game:1.73
5892981239	54265181181969704	0.26087168	bereject_apply_team_num:1.51
5886280956	53872328643577128	0.83317953	level:1.50
5867196294	52723527367132456	0.9949993	reject_relation_num:1.07
5763102795	46502316362564904	0.9788785	reject_apply_team_num:0.89
5756520856	45902049183139112	0.9631456	recruit_num:0.81
5733452324	44750791185401128	0.8693089	reject_friend_num:0.73
5730366784	44570836350666024	0.98160905	draw_gold_num:0.72
572630426	4412849451828520	0.5548249	login_days:0.68
5716687142	43770566368691496	1.0	login_num:0.66
5653750995	40012406097052968	0.9998956	active_game_num:0.61
5618100532	37805661631153448	0.9872913	
5616396690	37701651280561448	0.99889946	
5586472804	35913258573890856	0.9971928	
5531354628	32556875245815080	0.33377543	
5492657525	30167398644843816	0.92866224	
5483020013	29570008959288616	0.9999975	
5480255636	29402905337791784	0.9961235	
5397671154	24430180391322920	0.99974185	
5389473578	23937267999835432	0.0013807281	
5384369661	23627569383736616	0.99902725	
5379970047	23360658574017832	0.9997465	
5372270878	22892210450466088	0.17661035	
5367111408	22533920654755112	0.99999356	
5337377010	20699537438278952	0.8924594	
539035630	2058943904220456	0.9889109	
5329340767	20197771038819624	0.3747023	
5327253383	20070103672816936	0.8062261	
538005281	1988409736693032	0.030704357	
5289640399	17700158636950824	0.9809755	
5248175836	15049264892085544	0.5869859	
5247162138	14983196551021864	0.9983535	
5245535451	14876359977731368	0.9873411	
5232217052	13973995737449768	0.9657336	
5218983592	13100512870532392	0.96102405	
5214003732	12762606989608232	0.9900399	
5181291780	10818050345796904	0.9940964	
5164374439	9798894938883368	0.99991477	
5162781817	9697302923314472	0.9998319	
5161232777	9598611151521064	0.20667066	
5155640208	9243130801292584	0.99993646	
51519899558	78583840800900392	0.4031075	
51343114159	68906777777145128	0.99028045	
5116502800	6797424824026408	0.6682317	
51234417600	63690062382368040	0.057783525	
5975574617	59136905207743784	0.9988199	
5962472333	58361228275615016	0.28728604	
5959934783	58208726737618216	0.08089217	
590585578	5639011679208744	0.99001396	
589916251	5592409069454632	0.8557047	
5874571376	53177045848818984	0.9992473	
5815577881	49640868613063976	0.9015938	
5786231837	47930477545653544	0.47401738	
5738374476	45035616169493800	0.33283612	
5721448697	44050975992186152	0.9999589	
5678028990	41492788579534120	0.98272705	
5660629828	40432967348520232	0.99994326	
5655363651	40110913923450152	0.84241235	
5617587759	37774244012492072	0.06141351	
5555678023	34016234064708904	0.90933526	
5551467510	33766429103097128	0.019068249	
5529737915	32460816288974120	0.800184	
5471655956	28882795133011240	0.9981395	
5457424862	28002478033601832	0.9686442	
5442118472	27098160254289192	0.9907176	
5420230598	25780638166943016	0.9999944	
5414825352	25456417528218920	0.40249425	
5403391602	24772025227019560	0.99461067	
5398649416	24488318880580904	0.9912107	
5376350292	23139726395835688	1.0	
5354173794	21739668056180008	0.99579275	
5342356926	21011921415570728	0.75821877	
5338995732	20801530630636840	0.99549615	
5312728450	19168181545731368	0.97455865	
5310525736	19035072925926696	0.9964604	
5308951086	18936075137713448	0.9728703	
5296293988	18155068285388072	0.5181196	
535035330	1784949686797608	0.8207003	
5290179749	17733013123499304	0.99822074	
5283232518	17301472123684136	0.9560018	
5274563808	16759142106924328	0.99998784	
5273825672	16712892020032808	0.96077025	
5269961878	16465441505805608	0.99065065	
5267673385	16315805986063656	0.036842283	
5266664697	16250084732044584	0.9694521	
5259981369	15816111505671464	0.72252786	
5259037797	15754640054682920	0.9999049	
5239733709	14497697944175912	0.999777	
5225232878	13520715290903848	0.9608297	
5221686386	13284818372920616	0.9976351	
5218607832	13074608849028392	0.9865067	
5212516429	12664952586634536	0.99226123	
5207618008	12368034853684520	0.9578573	
5166953836	9962288513942824	0.973167	
5165297507	9857970267882792	0.99201584	
523195540	973942823453992	0.9869833	
5133504875	7835985228727592	0.5488582	
51350392681	69275577626264872	0.24017185	
5108584506	6358714450052392	0.9450936	
51001606891	60607746755921192	0.9903487	
5989564822	59936065947305256	0.036265302	
5946240144	57399796222526760	0.63387704	
591184454	5680370335221032	0.99939	
590020360	5599782924322088	0.94741476	
5855907179	52048688281158952	0.99979347	
5791176227	48221470505436456	0.9968549	
5785580149	47891542190720296	0.9844306	
5777561756	47374481546937640	0.99963295	
5696823466	42607490298676520	0.9721425	
5679807151	41599122574542120	0.9985819	
5670304891	41025750144779560	0.9999325	
5638240138	39057572724344104	0.05481955	
5633037009	38733907612796200	0.99961144	
5616914746	37733198889092392	0.9981179	
5611999736	37439009869661480	0.959987	
5576142350	35240834266170664	0.996727	
5550091743	33684378047874344	0.99989116	
5534761431	32760297446311208	0.93671745	
5504677970	30899186849678632	0.9744099	
5450827547	27615742602380584	0.9962023	
5404775283	24854073195234600	0.9557663	
5399783121	24556204731008296	0.9786452	
5390157294	23978818251654440	0.99711823	
5372071797	22882289478665512	0.99976	
5350674835	21526638819149096	0.99066293	
5349547793	21457224295908648	0.9984597	
5345988087	21236058243335464	0.98654664	
5337570140	20711447114155304	0.9997956	
5330592317	20275798917645608	0.45302334	
5315572125	19342211942843688	0.9919482	
5285950978	17472256867697960	0.9874774	
5250498890	15198429173384488	0.995717	
530872214	1499783655458088	0.99432856	
5240193253	14527377107715368	0.9068498	
5229467579	13794045734552872	0.9893756	
5229312500	13783876124411176	0.9887671	
5228474886	13729092809917736	0.99304175	
5223683372	13417157858034984	0.951893	
5220494374	13204008563246376	0.973531	
5212381683	12509692471674152	0.73035794	
5196481392	11707371173053736	1.0	
5183868976	10969183399839016	0.9962443	
5167416676	9990058765845800	0.99660885	
5160541424	9554714572490024	0.96103585	
522199554	906015365530920	0.98748106	
51531182132	79256725810971944	0.0020091285	
51443204072	74210695302219048	0.054101847	
51435575043	73781765038540072	0.86012095	
5121785217	7110651889976616	0.98669934	
51363265293	69940251061519656	0.43544778	
51338921921	68698457099339048	0.8027594	
51323494041	68000418814625064	0.9667114	
5115091650	6720607723324712	0.9342965	
51244836717	64123921523672360	0.99940515	
5106383665	6244542743708968	0.97311586	
5102791569	6094007562536232	0.117162265	
5991706966	60057637680973096	0.7106837	
5985649733	59718651347338536	0.62679386	
5963302504	58410783541167400	0.99258065	
517218624	564702300472616	0.9999037	
5878790052	53429582812284200	0.39248	
583872555	5178027806164264	0.9945635	
5845061616	51396611850765608	0.8655062	
5788848504	48084623452144936	0.984447	
5751868743	45827781816616232	0.99962556	
5747801188	45588017817453864	0.537274	
5730444439	44575370963715368	0.99844295	
5701222683	42867342128317736	0.66175556	
5695836554	42548534423455016	0.8239106	
515097860	419107405432104	0.92800844	
5654196083	40039409630184744	0.99487984	
5628917920	38474531853436200	0.9968141	
5616662623	37717783177725224	0.9830282	
5615153365	37628530737415464	0.99051076	
5597349791	36569593732793640	0.99920493	
5584601875	35796316814968104	0.5030066	
5582833450	35685907164431656	0.8729001	
5553548296	33890057522119976	0.9644627	
5540382129	33097127773472040	0.99999654	
5531151602	32544961878951208	0.9488795	
5504233812	30715741481600296	0.9968726	
5435139046	26671000255333672	0.99058074	
5424026795	26009026341242152	0.11952521	
5392408011	24114933549892904	0.8158659	
5378678644	23282141203137832	0.99545896	
5372998447	22932855269492008	0.99760383	
5368532013	22620530280891688	0.9896706	
5347270446	21315957251507496	0.9963229	
5335397688	20578211591488808	0.99998796	
5314096067	19251680541803816	0.9457867	
5289205313	17672878816625960	0.96287405	
5284425137	17376369575331112	0.9963386	
5272906058	16655274563994920	0.99982435	
5272096043	16602571087414568	0.999966	
5270794954	16518387648038184	0.99918944	
5262844676	16002159422604584	0.69229597	
5259551201	15788245623637288	0.85650814	
5254630509	15468890645988648	0.7606424	
5254513892	15461258690430248	0.99659854	
5233141088	14036466439423272	0.9938362	
5207952792	12387782106678568	0.9997671	
5203808787	12136918301410600	0.99885404	
5194216540	11554426448119080	0.66265136	
5178224825	10650716943549736	0.7430009	
5166511684	9935373900055848	0.989254	
5138202714	8125858611332392	0.99187124	
51470116625	75741535731582248	0.7400302	
51444478397	74282990272120104	0.12582281	
5120327272	7026224442770728	0.9999707	
519195941	698927410447656	0.9110339	
51357046412	69617071415493928	0.99976546	
5118940633	6942360106042664	0.9993093	
5117488262	6857455716140328	0.9835629	
51275459599	65547582721885480	0.9631697	
51242982429	64052015181202728	0.9996693	
51222955987	63085695925093672	0.06459283	
5107222297	6285897440298280	0.96668607	
5980420889	59421305392727336	0.9992768	
5963206113	58404769446102312	0.95063335	
5929376233	56410746053330216	0.99598145	
5886334048	53875422966187304	0.48167223	
5841107644	51158257674618152	0.9987369	
5820135932	49907186918622504	0.9995994	
5817436692	49750804340802856	0.9999819	
5811110424	49380127456757032	0.9608126	
5775844692	47271068599452968	0.9984321	
5742616132	45282313319613736	0.9999907	
5716518617	43760811290002728	0.9922694	
5686234757	41985567088837928	0.64196247	
5668763565	40930040019813672	0.9999982	
5661339820	40476202838132008	0.56647545	
565742063	3928346069435688	0.98745465	
5546851717	33488829596173608	0.9157061	
5529297986	32433857047692584	0.48967153	
5522898605	32052127266637096	0.9998404	
