uid	vopenid	predicted_proba	feature_importances
51000246173	60538217006761256	0.97513086	chat_num:43.90
510004176	67427497280808	0.99738806	reject_invite_team_num:11.08
51000429183	60547511248880936	0.9614835	active_plat_num:6.64
510007830	67680967460136	0.9130551	del_friend_num:4.38
51000875170	60571196517123368	0.19475606	skin_num:3.52
51001139131	60583692388926760	0.9956157	ip_counts:2.60
51001333218	60593335462921512	0.9680312	ip_counts_diff:2.45
51001406939	60596809823028520	0.99598217	friend_num_game:2.25
51001606891	60607746755921192	0.9915228	funny_num:2.01
51001613656	60608119143007528	0.99609345	friend_num_game_diff:1.89
51001667570	60611132532327720	0.8623876	round_squad_num:1.73
51001680972	60611775837898024	0.58716935	bereject_apply_team_num:1.65
51001690068	60612395722474792	0.99891424	reject_apply_team_num:1.50
51001748523	60615728684205352	0.6113311	draw_gold_num:1.06
51001787543	60617904823338280	0.8948809	recruit_num:0.99
51001922900	60624465184556328	0.99942243	funny_num_diff:0.89
51002022378	60628751629026600	0.99503785	del_friend_apply_num:0.64
51002197095	60636968169899304	0.8483814	level:0.57
51002330373	60643380824507688	0.5424736	login_num:0.56
51002560466	60654193069131048	0.9998148	friend_chat_num:0.55
51002627545	60657624949327144	0.99714404	
51002819923	60668249758893352	0.997537	
51003424270	60698145818281256	0.9985441	
510035904	69655041803560	0.75611645	
51003627246	60707999412782376	0.9820226	
51003894860	60722117372937512	0.8361321	
51004100024	60733491654296872	0.9170832	
5100416731	6017170329175336	0.98353946	
510041793	70065278289192	0.9900636	
51004251140	60740574055367976	0.8640276	
51004734917	60764339048940840	0.9706425	
51004825187	60768804271424808	0.999879	
51004843746	60769767552058664	0.9094231	
51004895770	60772196892935464	0.93676144	
51004912707	60773403443201320	0.9988306	
51005045983	60780916280526120	0.99912244	
51005470016	60802315283989800	0.987677	
51005546939	60805375582405928	0.99168867	
510055692	71026948310312	0.9986078	
51005620742	60809827383117096	0.99083555	
51005664911	60812002582725928	0.9992811	
51005779042	60817603756950824	0.99968076	
51005857836	60821676124144936	0.9981585	
5100617227	6021028887528744	0.90991634	
51006320574	60846381715555624	0.14049391	
51006616246	60861207070246184	0.99979454	
5100676819	6022459514291496	0.7762365	
51007102699	60886548786578728	0.14202611	
510072159	72157531342120	0.34836534	
51007242741	60894305765950760	0.9486616	
5100740477	6024272930014504	0.9918122	
51007468521	60905066940728616	0.9997522	
51007647173	60913876119979304	0.99802667	
51007669319	60914988852053288	0.9519515	
510078879	72618166584616	0.780178	
51007965528	60929796087350568	0.98680764	
51008018671	60932526679917864	0.9998485	
51008108138	60937357041730856	0.99721223	
5100825928	6027397250286888	0.98603815	
5100828424	6027512945968424	0.99809486	
51008356344	60951336354972968	0.53423166	
51008490649	60957748137166120	0.9731756	
5100891222	6030598275990824	0.57623744	
51008962698	60981212013266216	0.42269555	
51009033240	60984669394830632	0.94457316	
51009156389	60991024201598248	0.99802256	
51009267716	60997522956879144	0.5545643	
5100928114	6032637177496872	0.86820453	
51009293635	60999008411583784	0.99889946	
5100930330	6032758308996392	0.9995498	
51009796686	61024843982046504	0.8576629	
51010130828	61041982512170280	0.94761103	
5101013125	6036811617273128	0.9902784	
51010160744	61043470651229480	0.9955713	
51010242827	61047875744171304	0.9974716	
51010248101	61048160688407848	0.6377613	
51010339970	61053162580477224	0.97938263	
510104659	74402188625192	0.8484879	
51010515848	61063360846103848	0.987591	
51011103693	61093308377990440	0.9991147	
510111443	74872017782056	0.9943962	
51011246740	61100664583226664	0.993266	
5101131785	6041184766395688	0.89915246	
51011356824	61106182005589288	0.35095587	
5101139650	6041515210442024	0.47870237	
51011429451	61109883193656616	0.035649672	
5101143106	6041656340383016	0.5883417	
